Z  N   AME2020   Prediction   Difference
024 043 -20.540    -19.502     -1.038
024 044 -17.110    -16.317     -0.793
024 045 -10.370     -6.789     -3.581
024 046  -6.670     -5.487     -1.183
024 047   0.610      0.725     -0.115
024 048   5.170      4.302      0.868
024 049  12.470     12.489     -0.019
024 050  18.330     18.107      0.223
024 051  26.210     26.330     -0.120
024 052  32.300     32.916     -0.616
024 053  40.820     40.342      0.478
024 054  47.340     47.578     -0.238
024 055  56.050     55.825      0.225
024 056  63.260     62.024      1.236
024 057  72.150     69.686      2.464
024 058  79.810     78.698      1.112
024 059  89.100     90.395     -1.295
024 060  97.410     96.988      0.422
024 061 106.020    107.126     -1.106
024 062 114.540    115.108     -0.568
025 015  56.790     55.590      1.200
025 016  42.660     41.648      1.012
025 017  30.610     32.288     -1.678
025 018  17.360     14.526      2.834
025 019   6.600      3.859      2.741
025 020  -4.460    -10.297      5.837
025 021 -12.600    -17.782      5.182
025 022 -22.350    -28.108      5.758
025 023 -28.370    -32.882      4.512
025 024 -37.510    -42.528      5.018
025 025 -42.010    -44.623      2.613
025 026 -48.150    -49.382      1.232
025 027 -50.060    -50.438      0.378
025 028 -54.050    -54.526      0.476
025 029 -54.580    -54.453     -0.127
025 030 -56.920    -55.935     -0.985
025 031 -55.870    -54.306     -1.564
025 032 -57.130    -57.130      0.000
025 033 -55.280    -54.187     -1.093
025 034 -55.600    -55.559     -0.041
025 035 -52.660    -52.709      0.049
025 036 -52.380    -52.519      0.139
025 037 -48.760    -48.583     -0.177
025 038 -47.780    -46.922     -0.858
025 039 -43.730    -44.183      0.453
025 040 -42.060    -43.147      1.087
025 041 -37.680    -39.166      1.486
025 042 -35.120    -36.372      1.252
025 043 -29.650    -30.080      0.430
025 044 -26.970    -27.148      0.178
025 045 -21.220    -20.038     -1.182
025 046 -17.740    -19.343      1.603
025 047 -11.430    -12.805      1.375
025 048  -7.130     -8.323      1.193
025 049  -0.380      0.530     -0.910
025 050   4.910      5.124     -0.214
025 051  11.880     13.753     -1.873
025 052  17.690     19.290     -1.600
025 053  25.790     27.274     -1.484
025 054  32.780     33.062     -0.282
025 055  41.090     42.515     -1.425
025 056  48.150     48.448     -0.298
025 057  56.910     57.355     -0.445
025 058  64.310     62.630      1.680
025 059  73.270     73.441     -0.171
025 060  81.160     81.740     -0.580
025 061  90.300     91.134     -0.834
025 062  98.270     98.749     -0.479
025 063 106.950    107.083     -0.133
026 016  51.810     49.064      2.746
026 017  38.890     38.589      0.301
026 018  24.520     23.570      0.950
026 019  13.650     14.618     -0.968
026 020   0.610      1.216     -0.606
026 021  -7.430    -12.703      5.273
026 022 -19.160    -25.254      6.094
026 023 -24.450    -29.545      5.095
026 024 -35.380    -37.206      1.826
026 025 -39.840    -38.572     -1.268
026 026 -48.660    -44.894     -3.766
026 027 -50.940    -46.130     -4.810
026 028 -56.390    -50.781     -5.609
026 029 -57.160    -50.762     -6.398
026 030 -60.290    -56.159     -4.131
026 031 -59.500    -59.297     -0.203
026 032 -61.860    -60.761     -1.099
026 033 -60.430    -58.910     -1.520
026 034 -61.660    -58.544     -3.116
026 035 -59.040    -58.126     -0.914
026 036 -59.500    -58.090     -1.410
026 037 -56.220    -55.442     -0.778
026 038 -55.580    -55.211     -0.369
026 039 -51.800    -52.441      0.641
026 040 -50.540    -51.416      0.876
026 041 -47.070    -48.384      1.314
026 042 -45.240    -48.231      2.991
026 043 -40.500    -42.758      2.258
026 044 -38.320    -39.640      1.320
026 045 -32.900    -32.659     -0.241
026 046 -30.220    -29.473     -0.747
026 047 -23.960    -25.988      2.028
026 048 -20.710    -22.827      2.117
026 049 -14.050    -14.796      0.746
026 050  -8.330     -9.856      1.526
026 051  -2.540     -2.051     -0.489
026 052   2.780      2.884     -0.104
026 053  10.540     11.224     -0.684
026 054  16.450     17.976     -1.526
026 055  24.940     25.886     -0.946
026 056  31.220     32.828     -1.608
026 057  39.580     41.064     -1.484
026 058  46.630     47.547     -0.917
026 059  55.370     54.554      0.816
026 060  62.460     63.461     -1.001
026 061  71.960     74.215     -2.255
026 062  79.220     82.494     -3.274
026 063  88.990     91.170     -2.180
026 064  96.690     98.634     -1.944
027 017  51.590     53.420     -1.830
027 018  36.650     37.788     -1.138
027 019  25.260     29.084     -3.824
027 020  11.440     12.735     -1.295
027 021   1.830      3.606     -1.776
027 022  -9.720    -10.748      1.028
027 023 -16.500    -14.718     -1.782
027 024 -27.800    -28.465      0.665
027 025 -33.330    -31.740     -1.590
027 026 -42.960    -40.270     -2.690
027 027 -46.850    -39.891     -6.959
027 028 -53.170    -46.222     -6.948
027 029 -55.090    -49.638     -5.452
027 030 -58.400    -56.441     -1.959
027 031 -58.620    -60.211      1.591
027 032 -61.560    -61.978      0.418
027 033 -60.710    -61.177      0.467
027 034 -62.530    -60.113     -2.417
027 035 -60.540    -60.626      0.086
027 036 -61.830    -61.314     -0.516
027 037 -59.580    -59.367     -0.213
027 038 -59.260    -58.649     -0.611
027 039 -56.430    -57.966      1.536
027 040 -55.890    -56.279      0.389
027 041 -52.630    -53.215      0.585
027 042 -51.530    -51.275     -0.255
027 043 -47.310    -48.548      1.238
027 044 -45.980    -47.471      1.491
027 045 -41.260    -42.219      0.959
027 046 -39.270    -39.373      0.103
027 047 -33.960    -32.336     -1.624
027 048 -31.340    -32.766      1.426
027 049 -25.750    -26.146      0.396
027 050 -20.360    -22.115      1.755
027 051 -14.790    -14.358     -0.432
027 052 -10.030    -10.189      0.159
027 053  -2.540     -2.857      0.317
027 054   2.930      1.658      1.272
027 055  10.990     10.567      0.423
027 056  16.910     16.333      0.577
027 057  25.080     25.420     -0.340
027 058  31.740     31.539      0.201
027 059  40.490     40.442      0.048
027 060  47.570     46.675      0.895
027 061  56.200     56.685     -0.485
027 062  63.580     64.599     -1.019
027 063  72.600     74.180     -1.580
027 064  80.410     80.677     -0.267
027 065  89.130     88.468      0.662
028 018  45.810     44.392      1.418
028 019  33.980     33.330      0.650
028 020  18.840     22.557     -3.717
028 021   8.990     13.411     -4.421
028 022  -3.800     -0.974     -2.826
028 023 -10.550     -9.327     -1.223
028 024 -22.690    -21.096     -1.594
028 025 -28.790    -27.855     -0.935
028 026 -38.990    -38.885     -0.105
028 027 -44.480    -44.038     -0.442
028 028 -52.700    -50.332     -2.368
028 029 -55.550    -54.401     -1.149
028 030 -59.830    -58.862     -0.968
028 031 -60.230    -61.483      1.253
028 032 -63.690    -63.467     -0.223
028 033 -63.490    -64.846      1.356
028 034 -66.060    -65.090     -0.970
028 035 -64.830    -64.238     -0.592
028 036 -66.950    -64.709     -2.241
028 037 -64.850    -64.210     -0.640
028 038 -66.080    -64.369     -1.711
028 039 -63.360    -62.897     -0.463
028 040 -63.490    -62.264     -1.226
028 041 -60.050    -60.158      0.108
028 042 -59.740    -58.746     -0.994
028 043 -55.730    -55.181     -0.549
028 044 -55.160    -53.187     -1.973
028 045 -50.550    -50.716      0.166
028 046 -49.550    -49.944      0.394
028 047 -44.310    -45.851      1.541
028 048 -42.730    -41.350     -1.380
028 049 -37.640    -37.478     -0.162
028 050 -34.430    -34.022     -0.408
028 051 -28.390    -28.106     -0.284
028 052 -23.580    -23.225     -0.355
028 053 -16.450    -16.816      0.366
028 054 -11.310    -11.230     -0.080
028 055  -3.470     -4.778      1.308
028 056   1.910      1.395      0.515
028 057  10.200      8.492      1.708
028 058  15.940     15.699      0.241
028 059  24.460     23.958      0.502
028 060  30.660     30.969     -0.309
028 061  39.930     37.609      2.321
028 062  46.080     45.951      0.129
028 063  55.780     55.881     -0.101
028 064  62.120     64.083     -1.963
028 065  73.040     72.249      0.791
028 066  79.100     79.370     -0.270
028 071 121.870    122.356     -0.486
028 072 131.740    130.975      0.765
028 073 139.490    139.664     -0.174
028 074 149.490    147.776      1.714
029 019  45.210     39.171      6.039
029 020  30.770     31.523     -0.753
